#TrapElectrode	Analog Signal	dsubNumber
#be careful! AO numbers have to be 0..96 in this order with all present		
Q32	0	208
L2T10	1	218
Y10	2	206
Q34	3	205
Y14	4	204
Q38	5	203
Q50	6	202
Q42	7	201
T14	8	216
Q20	9	215
T04	10	214
L3	11	213
Q18	12	212
Q22	13	211
Q10	14	210
Q08	15	209
L5	16	224
Q54	17	223
Y13	18	222
Y11	19	221
Q30	20	220
L8	21	219
Q40	22	243
Q24	23	217
Q12	24	233
Q04	25	232
L1	26	231
Q02	27	229
T12	28	228
Q39	29	227
Q52	30	226
L7	31	225
Q44	32	242
Q37	33	241
L6	34	240
Y15	35	239
Q46	36	238
Y08	37	236
Q16	38	235
Q35	39	234
Q06	40	230
T02	41	250
T06	42	249
Q14	43	248
T08	44	247
Q15	45	246
Q26	46	245
Q36	47	244
Q21	48	108
Q01	49	107
CenterDC 1	50	106
T05	51	105
T13	52	104
Q11	53	103
Q27	54	102
Q07	55	101
Q33	56	116
Y04	57	115
Y07	58	114
Y18	59	113
Y05	60	112
Y17	61	111
Q47	62	110
Q53	63	118
T07	64	124
T03	65	123
NC2	66	122
Q03	67	121
T01	68	120
Q17Q19	69	119
Q25	70	143
Q29	71	117
Y03	72	130
Q49	73	132
Y01	74	131
Q51	75	129
CenterDC	76	128
Q45	77	127
Q31	78	126
T09	79	125
Q13	80	142
Q05	81	141
NC1	82	140
Q09	83	139
L4	84	138
Q23	85	136
Y12	86	135
Y02	87	134
Q41	88	151
Y09	89	150
Q48	90	149
Y06	91	148
Y16	92	147
Q28	93	146
Q43	94	145
T11	95	144
