#TrapElectrode	AO_Number	dsub_number 
#be careful! AO numbers have to be 0..47 in this order with all present
Q32	0	8
Q39	1	7
Q38	2	6
Q34	3	5
Q30	4	4
Q42	5	3
Q50	6	2
L8	7	1
Q22	8	16
Q26	9	15
Q14	10	14
Q18	11	13
Q36	12	12
Q40	13	11
Q44	14	10
Q37	15	9
Q28	16	24
Q21	17	23
Q31	18	22
Q13	19	21
Q25	20	20
CenterDC 1	21	19
T10	22	43
Q02	23	17
Q53	24	33
Q41	25	32
Q29	26	31
Y17	27	29
CenterDC	28	28
Q51	29	27
Q47	30	26
Q43	31	25
Q20	32	42
Q16	33	41
Q35	34	40
Q24	35	39
Q33	36	38
L1	37	36
Y06	38	35
Y02	39	34
L4	40	51
Q27	41	50
Q23	42	49
Q19	43	48
T01	44	47
L3	45	46
Q17	46	45
L2	47	44
