# These lines are for comments				
# 				
dt=10				
e01	e02	e03	e04	e05
0	0	0	0	0
0.062831	0.062831	0.062831	0.062831	0.062831
0.12566	0.12566	0.12566	0.12566	0.12566
0.188484	0.188484	0.188484	0.188484	0.188484
0.251301	0.251301	0.251301	0.251301	0.251301
0.314108	0.314108	0.314108	0.314108	0.314108
0.376902	0.376902	0.376902	0.376902	0.376902
0.439681	0.439681	0.439681	0.439681	0.439681
0.502443	0.502443	0.502443	0.502443	0.502443
0.565185	0.565185	0.565185	0.565185	0.565185
0.627905	0.627905	0.627905	0.627905	0.627905
0.6906	0.6906	0.6906	0.6906	0.6906
0.753268	0.753268	0.753268	0.753268	0.753268
0.815906	0.815906	0.815906	0.815906	0.815906
0.878512	0.878512	0.878512	0.878512	0.878512
0.941083	0.941083	0.941083	0.941083	0.941083
1.003617	1.003617	1.003617	1.003617	1.003617
1.066112	1.066112	1.066112	1.066112	1.066112
1.128564	1.128564	1.128564	1.128564	1.128564
1.190972	1.190972	1.190972	1.190972	1.190972
1.253332	1.253332	1.253332	1.253332	1.253332
1.315644	1.315644	1.315644	1.315644	1.315644
1.377903	1.377903	1.377903	1.377903	1.377903
1.440108	1.440108	1.440108	1.440108	1.440108
1.502256	1.502256	1.502256	1.502256	1.502256
1.564345	1.564345	1.564345	1.564345	1.564345
1.626372	1.626372	1.626372	1.626372	1.626372
1.688334	1.688334	1.688334	1.688334	1.688334
1.750231	1.750231	1.750231	1.750231	1.750231
1.812058	1.812058	1.812058	1.812058	1.812058
1.873813	1.873813	1.873813	1.873813	1.873813
1.935495	1.935495	1.935495	1.935495	1.935495
1.9971	1.9971	1.9971	1.9971	1.9971
2.058626	2.058626	2.058626	2.058626	2.058626
2.120071	2.120071	2.120071	2.120071	2.120071
2.181432	2.181432	2.181432	2.181432	2.181432
2.242708	2.242708	2.242708	2.242708	2.242708
2.303894	2.303894	2.303894	2.303894	2.303894
2.36499	2.36499	2.36499	2.36499	2.36499
2.425992	2.425992	2.425992	2.425992	2.425992
2.486899	2.486899	2.486899	2.486899	2.486899
2.547707	2.547707	2.547707	2.547707	2.547707
2.608415	2.608415	2.608415	2.608415	2.608415
2.66902	2.66902	2.66902	2.66902	2.66902
2.729519	2.729519	2.729519	2.729519	2.729519
2.789911	2.789911	2.789911	2.789911	2.789911
2.850193	2.850193	2.850193	2.850193	2.850193
2.910362	2.910362	2.910362	2.910362	2.910362
2.970416	2.970416	2.970416	2.970416	2.970416
3.030353	3.030353	3.030353	3.030353	3.030353
3.09017	3.09017	3.09017	3.09017	3.09017
3.149865	3.149865	3.149865	3.149865	3.149865
3.209436	3.209436	3.209436	3.209436	3.209436
3.26888	3.26888	3.26888	3.26888	3.26888
3.328195	3.328195	3.328195	3.328195	3.328195
3.387379	3.387379	3.387379	3.387379	3.387379
3.446429	3.446429	3.446429	3.446429	3.446429
3.505343	3.505343	3.505343	3.505343	3.505343
3.564119	3.564119	3.564119	3.564119	3.564119
3.622754	3.622754	3.622754	3.622754	3.622754
3.681246	3.681246	3.681246	3.681246	3.681246
3.739592	3.739592	3.739592	3.739592	3.739592
3.797791	3.797791	3.797791	3.797791	3.797791
3.85584	3.85584	3.85584	3.85584	3.85584
3.913737	3.913737	3.913737	3.913737	3.913737
3.971479	3.971479	3.971479	3.971479	3.971479
4.029064	4.029064	4.029064	4.029064	4.029064
4.086491	4.086491	4.086491	4.086491	4.086491
4.143756	4.143756	4.143756	4.143756	4.143756
4.200857	4.200857	4.200857	4.200857	4.200857
4.257793	4.257793	4.257793	4.257793	4.257793
4.31456	4.31456	4.31456	4.31456	4.31456
4.371158	4.371158	4.371158	4.371158	4.371158
4.427582	4.427582	4.427582	4.427582	4.427582
4.483832	4.483832	4.483832	4.483832	4.483832
4.539905	4.539905	4.539905	4.539905	4.539905
4.595799	4.595799	4.595799	4.595799	4.595799
4.651511	4.651511	4.651511	4.651511	4.651511
4.707039	4.707039	4.707039	4.707039	4.707039
4.762382	4.762382	4.762382	4.762382	4.762382
4.817537	4.817537	4.817537	4.817537	4.817537
4.872501	4.872501	4.872501	4.872501	4.872501
4.927273	4.927273	4.927273	4.927273	4.927273
4.981851	4.981851	4.981851	4.981851	4.981851
5.036232	5.036232	5.036232	5.036232	5.036232
5.090414	5.090414	5.090414	5.090414	5.090414
5.144395	5.144395	5.144395	5.144395	5.144395
5.198173	5.198173	5.198173	5.198173	5.198173
5.251746	5.251746	5.251746	5.251746	5.251746
5.305112	5.305112	5.305112	5.305112	5.305112
5.358268	5.358268	5.358268	5.358268	5.358268
5.411213	5.411213	5.411213	5.411213	5.411213
5.463943	5.463943	5.463943	5.463943	5.463943
5.516459	5.516459	5.516459	5.516459	5.516459
5.568756	5.568756	5.568756	5.568756	5.568756
5.620834	5.620834	5.620834	5.620834	5.620834
5.672689	5.672689	5.672689	5.672689	5.672689
5.724321	5.724321	5.724321	5.724321	5.724321
5.775727	5.775727	5.775727	5.775727	5.775727
5.826905	5.826905	5.826905	5.826905	5.826905
5.877853	5.877853	5.877853	5.877853	5.877853
5.928568	5.928568	5.928568	5.928568	5.928568
